,last_scraped,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
27,2024-09-28,Nils,2012-03-16,"Oslo, Norway",within an hour,100%,94%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$2,094.00",t,2024-09-28,2013-04-17,2024-09-08,no reviews,f,977648,1933196,1.0,1.0,2.0,1.0,2.0,1.0,2.0,185.9,2.0,2.0,187.4,188.8,2.0,189.2,28,88,7.2,3.3,1.0,4.89,4.91,4.91,4.84,4.97,1.0,0.0,0.0,1.91
28,2024-09-28,Stian,2013-03-08,"Oslo, Norway",within an hour,67%,0%,f,t,t,Private room in rental unit,Private room,1 shared bath,$600.00,t,2024-09-28,2013-08-25,2023-05-03,no reviews,f,981888,5377617,2.0,1.4,3.0,1.0,1.0,3.0,2.0,185.9,2.0,2.0,187.4,188.8,2.0,189.2,29,89,10.0,0.0,0.0,4.56,4.3,4.2,4.9,5.0,1.0,0.0,0.0,0.07
29,2024-09-28,Sangeeta,2012-04-23,"Oslo, Norway",within an hour,100%,60%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,349.00",t,2024-09-28,2013-05-27,2024-06-09,no reviews,f,1010214,2202709,2.0,3.0,2.0,1.0,1.0,1.0,2.1,185.9,2.3,7.0,187.4,188.8,2.4,189.2,17,72,7.2,3.0,0.0,4.85,4.93,4.77,4.94,4.88,1.0,0.0,0.0,0.6
30,2024-09-28,John Richard And Hilde,2013-03-31,"Oslo, Norway",a few days or more,0%,50%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$2,061.00",t,2024-09-28,2014-07-18,2024-06-15,no reviews,f,1036219,5703901,3.0,3.0,5.0,1.0,2.0,2.0,2.0,500.0,2.0,3.0,500.0,500.0,2.0,500.0,12,48,7.2,1.0,0.0,4.78,4.8,4.8,4.85,4.73,1.0,0.0,0.0,0.33
31,2024-09-28,Mari + David,2013-04-16,"Oslo, Norway",within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,880.00",t,2024-09-28,2015-06-05,2024-09-09,no reviews,f,1083432,5956740,1.0,1.0,4.0,1.0,2.0,2.0,3.0,30.0,3.0,3.0,30.0,30.0,3.0,30.0,8,8,7.2,16.0,2.0,4.84,4.88,4.9,4.92,4.95,1.0,0.0,0.0,1.05
32,2024-09-28,Ole,2013-05-04,"Oslo, Norway",within a day,100%,50%,f,t,t,Entire townhouse,Entire home/apt,2 baths,"$5,650.00",t,2024-09-28,2013-09-04,2023-07-03,no reviews,f,1134022,6220833,1.0,1.0,6.0,1.0,3.0,1.2,2.1,185.9,2.3,7.0,187.4,188.8,2.4,189.2,0,0,6.0,0.0,0.0,4.83,4.17,4.83,4.33,4.67,1.0,0.0,0.0,0.04
33,2024-09-28,Are,2013-05-09,"Oslo, Norway",within an hour,100%,90%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,850.00",t,2024-09-28,2024-07-14,2024-09-22,no reviews,f,1159017,6307556,1.0,1.0,3.0,1.0,2.0,2.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,20,80,7.0,7.0,2.0,4.43,4.86,4.29,4.14,4.71,1.0,0.0,0.0,2.73
34,2024-09-28,Mari,2012-03-11,"Oslo, Norway",within a day,100%,100%,f,t,t,Entire condo,Entire home/apt,1 bath,"$1,307.00",t,2024-09-28,2022-08-07,2024-04-21,no reviews,f,1211520,1904374,1.0,1.0,4.0,1.0,2.0,3.0,2.0,14.0,2.0,2.0,14.0,14.0,2.0,14.0,8,8,11.0,1.0,0.0,4.91,5.0,4.64,4.91,5.0,1.0,0.0,0.0,0.42
35,2024-09-28,William,2014-05-24,"Oslo, Norway",within a day,100%,50%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,043.00",t,2024-09-28,2017-10-15,2024-09-16,no reviews,t,1226982,15921981,1.0,1.0,4.0,1.0,1.0,1.0,1.0,185.9,1.0,2.0,187.4,188.8,1.3,189.2,16,39,7.2,3.3,0.3,4.89,4.92,4.83,4.99,4.9,1.0,0.0,0.0,3.59
36,2024-09-28,Rune,2013-06-05,"Oslo, Norway",within a few hours,100%,69%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$973.00,t,2024-09-28,2021-07-31,2022-10-21,no reviews,f,1239012,6751091,2.0,2.0,1.0,1.0,1.0,1.0,3.0,185.9,3.0,3.0,187.4,188.8,3.0,189.2,30,90,9.0,0.0,0.0,5.0,4.89,5.0,5.0,5.0,1.0,0.0,0.0,0.23
